id,title,description,size
265928,Ilounon?,"An Early Roman hilltop oppidum, Ilunum was abandoned in the second century A.D. and then reoccupied in Late Antiquity (ca. A.D 590) as a Visigothic episcopal see during the Byzantine-Visigothic war. It was finally abandoned in the ninth century and the population was resettled in a new foundation, Murcia.",0
265929,Ilugo,"An ancient place, cited: BAtlas 27 B3 Ilugo",1
265930,Ilurco,"An ancient place, cited: BAtlas 27 B4 Ilurco",0
265932,Iniesta,"An ancient place, cited: BAtlas 27 D2 Iniesta",0
265935,Ipolcobulcola,"An ancient place, cited: BAtlas 27 A4 Ipolcobulcola",0
265936,Iponuba/Hippo Nova,"An ancient place, cited: BAtlas 27 A4 Iponuba/Hippo Nova",0
265937,*Ipsca,"An ancient place, cited: BAtlas 27 A4 *Ipsca",0
265938,I(p)tuci,"An ancient place, cited: BAtlas 27 A4 I(p)tuci",0
265939,Isturgi,"An ancient place, cited: BAtlas 27 A3 Isturgi",1
265943,Jumilla,"An ancient settlement of southeastern Spain, whose ancient name is not known today. Occupation of the area seems to stretch from the bronze age up to modern times.",1
265945,El Laderón,"An ancient place, cited: BAtlas 27 A4 El Laderón",0
265946,Laminium,"An ancient place, cited: BAtlas 27 B3 Laminium",0
265948,Letrania,"An ancient place, cited: BAtlas 27 B4 Letrania",0
265949,Libisosa,"An ancient place, cited: BAtlas 27 C3 Libisosa",1
265950,Linares,"An ancient place, cited: BAtlas 27 B3 Linares",0
265951,Lobetanoi,The Lobetanoi were a pre-Roman tribe of Iberia mentioned only once by Ptolemy. Their homeland is thought to have been located in the mountainous area near Albarracín in the southwest Province of Teruel.,1
265952,Longuntica,"An ancient place, cited: BAtlas 27 D4 Longuntica",0
265954,Lucentum,Lucentum was a Phoenician and then Roman settlement in Tarraconensis that was largely abandoned after the third century.,1
265955,Luque,"An ancient place, cited: BAtlas 27 A4 Luque",0
265957,Macael,"An ancient place, cited: BAtlas 27 C4 Macael",0
265958,Maenuba (river),"An ancient place, cited: BAtlas 27 A5 Maenuba fl.",0
265959,Maenuba/Menova,"An ancient place, cited: BAtlas 27 A5 Maenuba/Menova",0
265960,Mago,"An ancient place, cited: BAtlas 27 inset Mago",1
265961,Mainake,"An ancient place, cited: BAtlas 27 A5 Mainake",0
265963,Malaca,A Roman city of Baetica that was perhaps founded by the Carthaginians in the fifth century BC.,1
265964,Malaca (river),"An ancient place, cited: BAtlas 27 A5 Malaca fl.",0
265965,Mariana,"An ancient place, cited: BAtlas 27 C3 Mariana",0
265966,Marianus (mountain range),The modern Sierra Morena mountain range in Spain.,2
265967,Marruca,"An ancient place, cited: BAtlas 27 A4 Marruca",0
265969,Mentesa,"An ancient place, cited: BAtlas 27 C3 Mentesa",1
265970,Mentesa Bastia,"An ancient place, cited: BAtlas 27 B4 Mentesa Bastia",0
265973,Montoro-Andújar,"An ancient place, cited: BAtlas 27 A3 Montoro-Andújar",0
265974,Monturque,"An ancient place, cited: BAtlas 27 A4 Monturque",0
265975,Morana,"An ancient place, cited: BAtlas 27 A4 Morana",0
265977,Murgi,"An ancient place, cited: BAtlas 27 C5 Murgi",0
265982,Obulco,Obulco was a Roman municipium of Hispania Baetica.,0
265983,Ocules,"An ancient place, cited: BAtlas 27 C2 Ocules",0
265984,Olcades?,"An ancient place, cited: BAtlas 27 A2 Olcades?",1
265985,Onuba,"An ancient place, cited: BAtlas 27 A4 Onuba",0
265987,*Opta,"An ancient place, cited: BAtlas 27 C1 *Opta",0
265988,Oretana Iuga,The Sierra Morena mountain range.,1
265989,Oretania/Oretani,"A pre-Roman ancient Iberian or Celtic tribe in Extremadura, La Mancha, eastern Andalusia and Murcia. Oretania is a regional name, which associated the area with the ancient people.",2
265990,Oretum,"Oretum was a tributary city of the Oretani that was a part of the conventus of Carthago Nova, according to Pliny the Elder.",3
265992,Orospeda (mountain),"A mountain, probably the sierra NW from Cartagena to Sierra de Cazorla.",0
265994,Ossigi,"An ancient place, cited: BAtlas 27 B4 Ossigi",0
265996,Pago de Bruñel,"An ancient place, cited: BAtlas 27 B4 Pago de Bruñel",0
265997,El Palacio,"An ancient place, cited: BAtlas 27 B2 El Palacio",0
265998,Palma,"The site of Palma, on the island of Majorca, experienced multiple phases of settlement from Talaiotic to Roman.",1
265999,Parietinae,"An ancient place, cited: BAtlas 27 D3 Parietinae",0
266000,Paulenca,"An ancient place, cited: BAtlas 27 B4 Paulenca",0
266001,Pityussae (islands),"Pityussae Inss., an ancient island group comprised of the islands of Ebusus and Ophiussa.",3
266002,Planesia? Ins.,"An ancient place, cited: BAtlas 27 F3 Planesia? Ins.",0
266003,Plaza de Armas,"An ancient place, cited: BAtlas 27 A4 Plaza de Armas",0
266004,Pollentia,"An ancient place, cited: BAtlas 27 inset Pollentia",1
266005,Portos Magnos,"An ancient place, cited: BAtlas 27 C5 Portos Magnos",0
266006,Portus Sucronis,"An ancient place, cited: BAtlas 27 E2 Portus Sucronis",0
266008,Puente del Obispo,"An ancient place, cited: BAtlas 27 B4 Puente del Obispo",0
266009,Puente de la Olmilla,"An ancient place, cited: BAtlas 27 C3 Puente de la Olmilla",0
266010,Pujol de Benicató,"An ancient place, cited: BAtlas 27 E2 Pujol de Benicató",0
266012,Río Golopón,"An ancient place, cited: BAtlas 27 C4 Río Golopón",0
266013,Rojales,"An ancient place, cited: BAtlas 27 E3 Rojales",0
266014,Rubielos de Mora,"An ancient place, cited: BAtlas 27 E1 Rubielos de Mora",0
266015,El Ruedo,"An ancient place, cited: BAtlas 27 A4 El Ruedo",0
266017,Sacili,"An ancient place, cited: BAtlas 27 A4 Sacili",0
266018,Saetabis,Saetabis was a town of the Contestani in Hispania Tarraconensis.,3
266019,Saetabis? (river),"An ancient place, cited: BAtlas 27 E3 Saetabis? fl.",0
266020,Sagunto,"An ancient place, cited: BAtlas 27 E2 Sagunto",0
266021,Saguntum/Arse,"An ancient place, cited: BAtlas 27 E2 Saguntum/Arse",3
266022,Salaria?,"An ancient place, cited: BAtlas 27 B4 Salaria?",0
266023,Salika?,"An ancient place, cited: BAtlas 27 D3 Salika?",0
266025,Saltigi,"An ancient place, cited: BAtlas 27 D3 Saltigi",2
266026,Sanisera,Sanisera was a Roman settlement of Menorca.,2
266027,S. Cristo,"An ancient place, cited: BAtlas 27 D1 S. Cristo",0
266029,S. Tomé,"An ancient place, cited: BAtlas 27 B3 S. Tomé",0
266030,Saturni/Scombraria Pr.,"An ancient place, cited: BAtlas 27 E4 Saturni/Scombraria Pr.",0
266032,Scombraria (island),Strabo reports that the island's name is derived from the mackerel harvested there that are in turn used to manufacture garum.,0
266034,Sebelaci,"An ancient place, cited: BAtlas 27 E2 Sebelaci",0
266035,Segisa?,"An ancient place, cited: BAtlas 27 D3 Segisa?",0
266036,Segobriga,Segobriga was an Ibero-Roman city.,9
266037,Selambina,"An ancient place, cited: BAtlas 27 B5 Selambina",0
266038,Sexi/Saxetanum,Sexi/Saxetanum (modern Almuñécar) was a Phoenician colony established ca. 800 BC that eventually became a Roman one (Sexi Firmum Iulium).,4
266039,Sierra de Gádor,"An ancient place, cited: BAtlas 27 C5 Sierra de Gádor",1
266040,Sierra Elvira,"An ancient place, cited: BAtlas 27 B4 Sierra Elvira",0
266043,Sisapo?,"An ancient place, cited: BAtlas 27 A3 Sisapo?",1
266044,El Solao,"An ancient place, cited: BAtlas 27 A2 El Solao",0
266046,Solorius (mountain),Sierra Nevada.,0
266047,Sorobis (river),"An ancient place, cited: BAtlas 27 E3 Sorobis fl.",0
266048,*Sosontigi,"An ancient place, cited: BAtlas 27 A4 *Sosontigi",0
266049,Soto de Roma,"An ancient place, cited: BAtlas 27 B4 Soto de Roma",0
266050,Spartarius? Campus,A region near Carthago Nova in Hispania Tarraconensis.,0
266051,(S)Ucia,"An ancient place, cited: BAtlas 27 A3 (S)Ucia",0
266052,Sucro,"An ancient place, cited: BAtlas 27 E2 Sucro",1
266053,Sucro (river),The Júcar river flows 509 km from its source at Ojuelos de Valdeminguete to the Gulf of Valencia.,1
266054,Sucronensis Sinus,"An ancient place, cited: BAtlas 27 E2 Sucronensis Sinus",1
266055,Suel,"An ancient place, cited: BAtlas 27 A5 Suel",1
266057,Tader (river),"An ancient place, cited: BAtlas 27 E3 Tader fl.",0
266058,*Tagili,"An ancient place, cited: BAtlas 27 C4 *Tagili",0
266059,Tagonios (river),The Tajuña river.,0
266061,Las Tamujas,"An ancient place, cited: BAtlas 27 A2 Las Tamujas",0
266063,Thiar,"An ancient place, cited: BAtlas 27 E4 Thiar",1
266065,Fábrica de Armas,"An ancient place, cited: BAtlas 27 A2 Fábrica de Armas",0
266066,Toletum,"Ancient Toletum, located on the Tagus river, was the main settlement of the Carpetani. The Romans captured the city in 193 B.C. In 507, Toletum became the capital of the Visigothic Kingdom and in 711 it fell to Muslim invaders. Alfonso VI of León and Castile recaptured the city in 1085.",3
266067,Torre de la Cruz,"An ancient place, cited: BAtlas 27 E3 Torre de la Cruz",0
266068,Los Torrejones,"An ancient place, cited: BAtlas 27 D3 Los Torrejones",0
266069,Totana,"An ancient place, cited: BAtlas 27 D4 Totana",0
266070,Tucci/Col. Augusta Gemella,"An ancient place, cited: BAtlas 27 B4 Tucci/Col. Augusta Gemella",0
266071,*Tuci?,"An ancient place, cited: BAtlas 27 inset *Tuci?",1
266072,Tugia,"An ancient place, cited: BAtlas 27 B4 Tugia",0
266073,Tugiensis Saltus,"An ancient place, cited: BAtlas 27 C4 Tugiensis Saltus",0
266074,Turaniana,"An ancient place, cited: BAtlas 27 C5 Turaniana",0
266075,Turdetania (region),Turdetania was a region located between the Guadiana and the Guadalquivir rivers.,1
266076,Turia (river),"An ancient place, cited: BAtlas 27 E2 Turia fl.",1
266078,*Tutugi,"An ancient place, cited: BAtlas 27 C4 *Tutugi",0
266081,Ucubi/Col. Claritas Iulia,"An ancient place, cited: BAtlas 27 A4 Ucubi/Col. Claritas Iulia",0
266082,Udiva? (river),"An ancient place, cited: BAtlas 27 E2 Udiva? fl.",0
266085,Urci?,"An ancient place, cited: BAtlas 27 C5 Urci?",0
266086,Urcitanus Sinus,"An ancient place, cited: BAtlas 27 C5 Urcitanus Sinus",0
266087,Urgao/Vircao,"An ancient place, cited: BAtlas 27 A4 Urgao/Vircao",0
266090,Valentia,"An ancient place, cited: BAtlas 27 E2 Valentia",3
266091,La Valenzoleja,"An ancient place, cited: BAtlas 27 A4 La Valenzoleja",0
266092,Valeria,"An ancient place, cited: BAtlas 27 C2 Valeria",0
266093,Vergilia,"An ancient place, cited: BAtlas 27 B4 Vergilia",1
266094,Vicus Cuminarius,"An ancient place, cited: BAtlas 27 B2 Vicus Cuminarius",0
266095,El Villar,"An ancient place, cited: BAtlas 27 E2 El Villar",0
266096,Villarrodrigo,"An ancient place, cited: BAtlas 27 C3 Villarrodrigo",0
266097,Viniolae?,"An ancient place, cited: BAtlas 27 B4 Viniolae?",0
266099,Vi(v)atia,"An ancient place, cited: BAtlas 27 B4 Vi(v)atia",0
266517,Untitled,"An ancient place, cited: BAtlas 27 A2 unnamed aqueduct (Toletum)",0
266518,Untitled,"An ancient place, cited: BAtlas 27 B2 unnamed aqueduct (N Consabura)",1
266519,Untitled,"An ancient place, cited: BAtlas 27 B4 unnamed aqueduct (NW Iliberri)",0
266520,Torrecuevas aqueduct,"One of five Roman-era aqueducts known from Sexi (modern Almuñécar, Spain). This one is represented by an extant aqueduct bridge located near the source of the Rio Verde, north of Sexi.",1
266521,Untitled,"An ancient place, cited: BAtlas 27 C2 unnamed aqueduct (Segobriga)",2
266522,Untitled,"An ancient place, cited: BAtlas 27 C5 unnamed aqueduct (Rambla de Carcanz, N Sierra de Gador)",1
266523,Untitled,"An ancient place, cited: BAtlas 27 D2 unnamed aqueduct (Peña Cortada, E Barranca de S. Filomena)",0
266524,Untitled,"An ancient place, cited: BAtlas 27 E2 unnamed aqueduct (3 miles S Villareal, over R. Sec)",0
266525,Untitled,"An ancient place, cited: BAtlas 27 E3 unnamed aqueduct (SW Calpe)",0
266526,Untitled,"An ancient place, cited: BAtlas 27 G3 unnamed aqueduct (Ebusus)",0
267272,Unnamed bridge at Isturgi on the Guadalquivir river,Its ancient name is unknown.,2
267273,Untitled,"An ancient place, cited: BAtlas 27 A4 unnamed bridge (SW La Valenzoleja on Arroyo Rabanales)",0
267274,Untitled,"An ancient place, cited: BAtlas 27 A4 unnamed bridge (Ad Decumum on R. Guadalmellato)",0
267275,Untitled,"An ancient place, cited: BAtlas 27 A4 unnamed bridge (Campillo Bajo on R. Guadalquivir)",0
267276,Untitled,"An ancient place, cited: BAtlas 27 A4 unnamed bridge (E Ad Lucos on Arroyo Salado de Porcuna)",0
267277,Puente de Cañete,The remains of a Roman bridge known locally as Puente Viejo or Puente de Cañete lying one mile west west of Obulco on the Arroyo Salado.,0
267278,Untitled,"An ancient place, cited: BAtlas 27 B2 unnamed bridge (Orgaz, SE Toledo)",0
267279,Unnamed Bridge,This archaeologically attested Roman bridge was located east of Salaria on the Guadalquivir river.,1
267280,Untitled,"An ancient place, cited: BAtlas 27 B4 unnamed bridge (NW Calecula)",0
267281,Untitled,"An ancient place, cited: BAtlas 27 C2 unnamed bridge (El Castellar, NW Valeria)",0
267282,Untitled,"An ancient place, cited: BAtlas 27 C2 unnamed bridge (S. Clemente on R. Rus, SW Valeria)",0
267283,Puente Mocho (río Guadalimar),"A Roman bridge located between Chiclana and Beas de Segura, S Mariana.",0
267284,Untitled,"An ancient place, cited: BAtlas 27 C3 unnamed bridge (Puente de Génave, SSE Mariana)",0
267285,Untitled,"An ancient place, cited: BAtlas 27 C4 unnamed bridge (W Tugia, Las Herrerías, Cazorla on R. Guadalquivir)",0
268027,Untitled,"An ancient place, cited: BAtlas 27 A2 unnamed canal (SW Toletum, E dams at Melque)",0
268028,Untitled,"An ancient place, cited: BAtlas 27 E2 unnamed canal (along and S R. Millárs (Mijares), W Sebelaci)",0
268029,Untitled,"An ancient place, cited: BAtlas 27 E2 unnamed canal (along and S R. Millárs (Mijares), SE Sebelaci)",0
268782,Untitled,"An ancient place, cited: BAtlas 27 A1 unnamed dam (Los Linares, S Castillo de Bayuela on R. Guadamera)",0
268783,Untitled,"An ancient place, cited: BAtlas 27 A2 unnamed dam (at Melque, SW Toletum, on Arroyos Las Zorras and Melqar (5-dam complex))",0
268784,Untitled,"An ancient place, cited: BAtlas 27 A2 unnamed dam group (La Alcantarilla on R. Guajaraz and S. Martín de Montiña on arroyo of same name, 4 miles SW Mazarambroz)",0
268785,Unnamed ancient dams ,"Unnamed dam group (Los Paerones, 2 miles E Noez, on Arroyo de S. María)",0
268786,Untitled,"An ancient place, cited: BAtlas 27 B2 unnamed dam (Puente de Urda, 4 miles SW Consuegra, on R. Amarguillo)",0
268787,Untitled,"An ancient place, cited: BAtlas 27 B2 unnamed dam (La Mesa de Valhermoso, 7 miles WSW Orgaz on Arroyo Valhermoso)",0
268788,Untitled,"An ancient place, cited: BAtlas 27 B2 unnamed dam (Moracantá, 6 miles N Orgaz, on arroyo which joins Arroyo de Guazalete)",0
268789,Untitled,"An ancient place, cited: BAtlas 27 B4 unnamed dam (9 miles NW Iliberri, on R. Cubillas)",0
268790,Untitled,"An ancient place, cited: BAtlas 27 E2 unnamed dam (NW Sebelaci, on R. Millárs (Mijares))",0
268791,Untitled,"An ancient place, cited: BAtlas 27 E2 unnamed dam (SE Ad Novlas, on R. Millárs (Mijares))",0
269537,Untitled,Anticaria → Urgapa → Olaura (Map 26),0
269538,Untitled,Carthago Nova → Acci → Vergilia → Castulo,4
269539,Untitled,Carthago Nova → Saltigi,0
269540,Untitled,Carthago Nova → Suel → Map 26,0
269541,Untitled,Castulo → Epora → Corduba (Map 26),0
269542,Untitled,Castulo → Mariana → Libisosa → Saltigi → Saetabis,0
269543,Untitled,Castulo → Obulco → Corduba (Map 26),0
269544,Untitled,Castulo → Oretum,0
269545,Untitled,Castulo → Sisapo → Map 26,0
269546,Untitled,E Segobriga → N to Segontia (Map 25),1
269547,Untitled,Iniesta → Valeria → Bilbilis (Map 25),0
269548,Untitled,Laminium → Saltigi,0
269549,Untitled,Laminium → Toletum,0
269550,Untitled,Malaca → Anticaria → Ulia → Corduba (Map 26),0
269551,Untitled,Malaca → Iluro → Singili(a) Barba,0
269552,Untitled,Mariana → Carcuvium → Sisapo and W to Mirobriga (Map 26),0
269553,Untitled,Mariana → Laminium → Alce(s) → Titulcia,0
269554,Untitled,Mentesa Bastia → Obulco,0
269555,Untitled,Obulco → Iponuba → Morana,0
269556,Untitled,Portus Magnus → Acci → Tugia → Castulo,0
269557,Untitled,Saetabis → Ad Aras → Carthago Nova,0
269558,Untitled,Saetabis → Ildum → Map 25,2
269559,Untitled,Saltigi → Iniesta → N to Caesar Augusta,0
269560,Untitled,Saltigi → Segobriga → Complutum (Map 25),3
269561,Untitled,Sucro → Dianium → Ilici,3
269562,Untitled,Titulcia → NW to Segovia (Map 24),0
269563,Untitled,Toletum → Caesarobriga → Map 26,1
269564,Untitled,Toletum → Titulcia → NE to Complutum (Map 25),0
270292,Adiungi,"An ancient place, cited: BAtlas 27 unlocated Adiungi",0
270293,Aimiliana,"An ancient place, cited: BAtlas 27 unlocated Aimiliana",0
270294,Alternum/Alterum/Asterum,"An ancient place, cited: BAtlas 27 unlocated Alter(n)um/Asterum",0
270295,Alternia,"An ancient place, cited: BAtlas 27 unlocated Alternia",0
270296,Althaia/Cartala,"An ancient settlement, attested by literary or documentary sources, whose precise location cannot be determined today",1
270297,Amtorgis,"An ancient place, cited: BAtlas 27 unlocated Amtorgis",0
270298,Andura,"An ancient place, cited: BAtlas 27 unlocated Andura",0
270301,Barnakis,"An ancient place, cited: BAtlas 27 unlocated Barnakis",0
270303,Beleia,"An ancient place, cited: BAtlas 27 unlocated Beleia",0
270304,Bergoula,"An ancient place, cited: BAtlas 27 unlocated Bergoula",0
270305,Bernaba,"An ancient place, cited: BAtlas 27 unlocated Bernaba",0
270306,Bigerra/Begerra,"An ancient place, cited: BAtlas 27 unlocated Bigerra/Begerra",0
270310,Celeret/Celeri,"An ancient place, cited: BAtlas 27 unlocated Celeret/Celeri",0
270311,Cusubi/Casuli,"An ancient place, cited: BAtlas 27 unlocated Cusubi/Casuli",0
270313,Egelesta,An unlocated toponym on BAtlas 27 (2),0
270314,Egelesta,An unlocated toponym on BAtlas 27 (1),0
270316,Hannibalis,"An ancient place, cited: BAtlas 27 unlocated Hannibalis Ins.",0
270317,Helonis/Helo,"An ancient place, cited: BAtlas 27 unlocated Helo(nis)",0
270318,Hyops,"An ancient place, cited: BAtlas 27 unlocated Hyops",0
270320,Ibe/Ide,"An ancient place, cited: BAtlas 27 unlocated Ibe/Ide",0
270321,Icositani,"An ancient place, cited: BAtlas 27 unlocated Icositani",0
270323,Ilarkouris,"An ancient place, cited: BAtlas 27 unlocated Ilarkouris",0
270324,Ileosca,"An ancient place, cited: BAtlas 27 unlocated Ileosca",0
270325,Ilourbida,"An ancient place, cited: BAtlas 27 unlocated Ilourbida",0
270326,Ispinon,"An ancient place, cited: BAtlas 27 unlocated Ispinon",0
270327,Istonion,"An ancient place, cited: BAtlas 27 unlocated Istonion",1
270329,Kallikoula,"An ancient place, cited: BAtlas 27 unlocated Kallikoula",0
270330,Karka,"An ancient place, cited: BAtlas 27 unlocated Karka",0
270331,Kerouaria,"An ancient place, cited: BAtlas 27 unlocated Kerouaria",0
270332,Krabrasia,"An ancient place, cited: BAtlas 27 unlocated Krabrasia",0
270334,Laccuris,"An ancient place, cited: BAtlas 27 unlocated Laccuris",0
270335,Lassira/Lersensis Res Publicae,"An ancient place, cited: BAtlas 27 unlocated Lassira/Lersensis Res Publicae",0
270336,Lauro,"An ancient place, cited: BAtlas 27 unlocated Lauro",0
270337,Laxta,"An ancient place, cited: BAtlas 27 unlocated Laxta",0
270339,Libana,"An ancient place, cited: BAtlas 27 unlocated Libana",1
270340,Lobeton,A now unlocated site that was the center of the Lobetani in ancient Iberia.,1
270341,Loupparia,"An ancient place, cited: BAtlas 27 unlocated Loupparia",0
270342,Lyco,"An ancient place, cited: BAtlas 27 unlocated Lyco",0
270344,Martium Ucia/Ucia,"An ancient place, cited: BAtlas 27 unlocated (Martium) Ucia",0
270345,Mastia/Massia,"An ancient place, cited: BAtlas 27 unlocated Mastia/Massia",1
270346,Mediolon,"An ancient place, cited: BAtlas 27 unlocated Mediolon",1
270347,Mellaria,"An ancient place, cited: BAtlas 27 unlocated Mellaria",0
270348,Menariae,"An ancient place, cited: BAtlas 27 unlocated Menariae Inss.",0
270349,Meterkosa,"An ancient place, cited: BAtlas 27 unlocated Meterkosa",0
270350,Molybdina,"An ancient place, cited: BAtlas 27 unlocated Molybdina",0
270352,Nobila,"An ancient place, cited: BAtlas 27 unlocated Nobila",0
270355,Oinoussa,"An ancient place, cited: BAtlas 27 unlocated Oinoussa",0
270356,Orkelis,"An ancient place, cited: BAtlas 27 unlocated Orkelis",0
270357,Ouarada/Varciliens(...),"An ancient place, cited: BAtlas 27 unlocated Ouarada/Varciliens(...)",1
270358,Ourkesa,"An ancient place, cited: BAtlas 27 unlocated Ourkesa",1
270360,Pallantia (river),"An ancient place, cited: BAtlas 27 unlocated Pallantia fl.",0
270361,Paterniana,"An ancient place, cited: BAtlas 27 unlocated Paterniana",0
270362,Plumbaria,"An ancient place, cited: BAtlas 27 unlocated Plumbaria Ins.",0
270363,Poukialia,"An ancient place, cited: BAtlas 27 unlocated Poukialia",0
270365,Ripa,"An ancient place, cited: BAtlas 27 unlocated Ripa",0
270367,"S. Martini, Mon.","An ancient place, cited: BAtlas 27 unlocated S. Martini, Mon.",0
270368,Saitabikoula,"An ancient place, cited: BAtlas 27 unlocated Saitabikoula",0
270369,Salaria Bastetana/Salaria,"An ancient settlement, attested by literary or documentary sources, whose precise location cannot be determined today",0
270370,Salduba,"An ancient settlement, attested by literary or documentary sources, whose precise location cannot be determined today",1
270371,Salduba,"An ancient place, cited: BAtlas 27 unlocated Salduba fl.",0
270373,Soricaria,"An ancient place, cited: BAtlas 27 unlocated Soricaria",0
270374,Sucaelo/Siccaenum,"An ancient place, cited: BAtlas 27 unlocated Sucaelo/Siccaenum?",0
270376,Tiquadra,"An ancient place, cited: BAtlas 27 unlocated Tiquadra Ins.",0
270377,Tourboula,"An ancient place, cited: BAtlas 27 unlocated Tourboula",0
270380,Ulissi/Ulisi/Odyssea,"An ancient place, cited: BAtlas 27 unlocated Ulis(s)i/Odyssea?",0
270381,Urbiaca,"An ancient place, cited: BAtlas 27 unlocated Urbiaca",0
270382,Urgapa,"An ancient place, cited: BAtlas 27 unlocated Urgapa",0
270384,Valebonga,"An ancient place, cited: BAtlas 27 unlocated Valebonga",0
270386,Vescelia,"An ancient place, cited: BAtlas 27 unlocated Vescelia",0
271047,Alebus,"An ancient place, cited: BAtlas 27 unlocated Alebus fl.",0
271048,Barbetium Iugum,"An ancient place, cited: BAtlas 27 unlocated Barbetium Iugum",0
271049,Berybraces,An ancient people whose territory is unlocated,0
271050,Crabrasiae Iugum,"An ancient place, cited: BAtlas 27 unlocated Crabrasiae Iugum",0
271051,Gymnetes,An ancient people whose territory is unlocated,0
271052,Herna,"An ancient settlement, attested by literary or documentary sources, whose precise location cannot be determined today",0
271053,Hiberi,"An ancient place, cited: BAtlas 27 unlocated Hiberi",0
271054,Hylactes Civitas,"An ancient settlement, attested by literary or documentary sources, whose precise location cannot be determined today",0
271055,Hystra Civitas,"An ancient settlement, attested by literary or documentary sources, whose precise location cannot be determined today",0
271056,Ilerda,"An ancient place, cited: BAtlas 27 unlocated Ilerda",0
271057,Libyphoenices,"An ancient place, cited: BAtlas 27 unlocated Libyphoenices",0
271058,Malacha/Malaca,"An ancient place, cited: BAtlas 27 unlocated Malacha/Malaca",0
271059,Malachae,"An ancient place, cited: BAtlas 27 unlocated Malachae fl.",0
271060,Massiena Urbs,"An ancient settlement, attested by literary or documentary sources, whose precise location cannot be determined today",0
271061,Massieni,An ancient people whose territory is unlocated,0
271062,Menace,"An ancient place, cited: BAtlas 27 unlocated Menace",0
